feature,route,page,page_file,screen_level,archetype,body_grade,issue_priority,layout_status,surface_status,controls_status,state_status,financial_safety_status,responsive_status,copy_boundary_status,shared_component_count,custom_body_count,fixed_size_count,local_font_count,source_file_count,primary_issue,recommended_action,test_scope,source_files
admin,AppRoutePaths.admin,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
admin,AppRoutePaths.adminAbtests,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
admin,AppRoutePaths.adminAnalytics,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
admin,AppRoutePaths.adminFunnels,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
admin,AppRoutePaths.adminSettings,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/challenge/:challengeId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/creator/:creatorId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/join/:challengeId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/ledger/entry/:entryId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/mode/:modeId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/report/:caseId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,'/arena/trust/:userId',VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_entityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arena,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L1_productModuleHub,rootModule,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaBlocked,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaBridge,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaEcosystem,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaFlowMap,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaGuide,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaLeaderboard,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaLedger,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaMy,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaMyReports,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_utilityDetail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaProduction,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
arena,AppRoutePaths.arenaResolution,VitTabletUtilityPage,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart,L2_detail,detail,A,P3,pass,pass,pass,pass,not_applicable,pass,pass,19,0,0,0,1,none,No body refactor required; keep visual smoke coverage when touched.,flutter test test/features/arena --reporter=compact,flutter_app/lib/shared/layout/vit_tablet_utility_page.dart
