feature,route,page,page_file,screen_level,archetype,body_grade,official_density_score,visual_density_risk_score,visual_density_priority,tokenized_fixed_height_refs,tokenized_gap_refs,spacer_refs,manual_content_refs,bottom_inset_refs,root_top_chrome_refs,detail_top_chrome_refs,scroll_refs,grid_or_wrap_refs,root_causes,recommendation,source_files,unresolved_source_files
p2p_orders,'/p2p/chat/:orderId',P2PChatPage,flutter_app/lib/features/p2p_orders/presentation/pages/orders/p2p_chat_page.dart,L3_fullscreenTool,fullscreenTool,Tool,14,32,P1_TOOL_VISUAL_QA,0,0,0,0,9,0,0,2,0,fullscreen_tool_manual_visual_qa;bottom_nav_inset_pressure,"Keep fullscreen-tool treatment; verify safe areas, controls, nonblank render, and emulator screenshot evidence.",flutter_app/lib/features/p2p_orders/presentation/pages/orders/p2p_chat_page.dart;flutter_app/lib/features/p2p_orders/presentation/widgets/orders/p2p_chat_composer_actions.dart;flutter_app/lib/features/p2p_orders/presentation/widgets/orders/p2p_chat_header_banners.dart;flutter_app/lib/features/p2p_orders/presentation/widgets/orders/p2p_chat_messages.dart,
trade_terminal,'/trade/advanced-chart/:pairId',AdvancedChartPage,flutter_app/lib/features/trade_terminal/presentation/pages/tools/advanced_chart_page.dart,L3_fullscreenTool,fullscreenTool,Tool,13,19,P1_TOOL_VISUAL_QA,2,0,0,0,0,0,0,2,0,fullscreen_tool_manual_visual_qa,"Keep fullscreen-tool treatment; verify safe areas, controls, nonblank render, and emulator screenshot evidence.",flutter_app/lib/features/trade_terminal/presentation/pages/tools/advanced_chart_page.dart;flutter_app/lib/features/trade_terminal/presentation/widgets/tools/advanced_chart_area_actions.dart;flutter_app/lib/features/trade_terminal/presentation/widgets/tools/advanced_chart_header_toolbar.dart;flutter_app/lib/features/trade_terminal/presentation/widgets/tools/advanced_chart_painter.dart,
dev,AppRoutePaths.devDesignSystem,DesignSystemPage,flutter_app/lib/features/dev/presentation/pages/design_system_page.dart,L2_detail,detail,A,6,36,P2_MEDIUM_DENSITY_REVIEW,0,0,0,1,12,0,1,1,4,bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/dev/presentation/pages/design_system_page.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_color_section.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_cta_section.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_footer.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_hero.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_input_section.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_playground.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_section_header_section.dart;flutter_app/lib/features/dev/presentation/widgets/design_system_tokens_section.dart;flutter_app/lib/features/dev/presentation/widgets/dev_state_bar.dart,
enterprise_states,AppRoutePaths.enterpriseStates,EnterpriseStatesPage,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart,L2_detail,detail,Tool,16,30,P2_MEDIUM_DENSITY_REVIEW,1,0,0,0,4,0,3,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/enterprise_states/presentation/pages/enterprise_states_page.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_hero_tabs.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_preview_kit.dart;flutter_app/lib/features/enterprise_states/presentation/widgets/enterprise_states_references.dart,
dev,AppRoutePaths.devShowcase,MissingScreensShowcasePage,flutter_app/lib/features/dev/presentation/pages/missing_screens_showcase_page.dart,L2_detail,detail,A,0,28,P2_MEDIUM_DENSITY_REVIEW,1,0,0,0,12,0,1,1,2,bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/dev/presentation/pages/missing_screens_showcase_page.dart;flutter_app/lib/features/dev/presentation/widgets/dev_state_bar.dart;flutter_app/lib/features/dev/presentation/widgets/missing_screens_showcase_page_common.dart;flutter_app/lib/features/dev/presentation/widgets/missing_screens_showcase_page_sections.dart,
dev,AppRoutePaths.performanceMonitor,PerformanceMonitor,flutter_app/lib/features/dev/presentation/pages/performance_monitor.dart,L2_detail,detail,A,0,25,P2_MEDIUM_DENSITY_REVIEW,0,0,0,0,12,0,1,1,0,bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/dev/presentation/pages/performance_monitor.dart;flutter_app/lib/features/dev/presentation/widgets/dev_state_bar.dart;flutter_app/lib/features/dev/presentation/widgets/performance_monitor_common.dart;flutter_app/lib/features/dev/presentation/widgets/performance_monitor_sections.dart,
dev,AppRoutePaths.routeChecker,RouteChecker,flutter_app/lib/features/dev/presentation/pages/route_checker_page.dart,L2_detail,detail,A,0,25,P2_MEDIUM_DENSITY_REVIEW,0,0,0,0,12,0,1,2,1,bottom_nav_inset_pressure;official_audit_blind_spot;shared_component_compliant_but_sparse,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/dev/presentation/pages/route_checker_page.dart;flutter_app/lib/features/dev/presentation/widgets/dev_state_bar.dart;flutter_app/lib/features/dev/presentation/widgets/route_checker_page_common.dart;flutter_app/lib/features/dev/presentation/widgets/route_checker_page_sections.dart,
wallet,AppRoutePaths.walletMultiManager,WalletMultiManagerPage,flutter_app/lib/features/wallet/presentation/pages/tools/wallet_multi_manager_page.dart,L2_detail,detail,B,12,23,P3_LOW_DENSITY_REVIEW,0,0,0,0,5,0,1,1,0,bottom_nav_inset_pressure,Recheck bottom-nav/sticky-footer clearance and keep primary content visible above chrome.,flutter_app/lib/features/wallet/presentation/pages/tools/wallet_multi_manager_page.dart;flutter_app/lib/features/wallet/presentation/widgets/tools/wallet_multi_manager_sections.dart,
earn_staking,AppRoutePaths.earn,StakingEarnPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_earn_page.dart,L1_productModuleHub,rootModule,A,0,22,P3_LOW_DENSITY_REVIEW,3,1,0,0,1,3,0,2,2,root_top_chrome_first_viewport_cost,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_earn_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_positions_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_products.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_tools.dart,
earn_staking,AppRoutePaths.earnStaking,StakingEarnPage,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_earn_page.dart,L1_productModuleHub,rootModule,A,0,22,P3_LOW_DENSITY_REVIEW,3,1,0,0,1,3,0,2,2,root_top_chrome_first_viewport_cost,Review first viewport manually and apply shared compact primitives without removing safety or domain-copy requirements.,flutter_app/lib/features/earn_staking/presentation/pages/staking/staking_earn_page.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_hero_tabs.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_positions_common.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_products.dart;flutter_app/lib/features/earn_staking/presentation/widgets/staking/staking_earn_tools.dart,
